descricao,tipo,elemento,tensao_kv,classe,categorias,origens,subsistemas,categoria_principal,origem_principal,eng_gwh,usinas,meses,registros
Controle do fluxo de potência ativa na LT 230 kV Chapada I / Curral Novo do Piauí II,Controle do fluxo,Controle do fluxo de potência ativa na LT 230 kV Chapada I / Curral Novo do Piauí II,230.0,local,eletrica,local,NE,eletrica,local,0.0436,1,1,2
Controle de carregamento: LT 138 kV Jales / Votuporanga 2,Controle de inequação,LT 138 kV Jales / Votuporanga 2,138.0,local,eletrica,local,SE,eletrica,local,0.043,1,1,19
"Desarme provocado pela atuação do SEP de corte de geração de Santa Luzia II, SIPER 1677/2026",outro,,,outro,eletrica,local,NE,eletrica,local,0.0427,1,1,3
Desligamento automático SE 500 KV SJP - SIPER n° 7655-25,outro,SE 500 kV SJP - Siper n° 7655-25,500.0,outro,eletrica,local,NE,eletrica,local,0.0393,1,1,3
Controle de carregamento da LT 230 kV Fortaleza / Aquiraz (04F1) quando da perda dupla das LTs 230 kV Fortaleza / Aquiraz II (04F2 e 04F3),Controle de inequação,LT 230 kV Fortaleza / Aquiraz (04F1) quando da perda dupla das LTs 230 kV Fortaleza / Aquiraz II (04F2 e 04F3),230.0,local,confiabilidade,local,NE,confiabilidade,local,0.0377,1,1,6
Desligamento da LT LT 500 kV 05N4 Ourolândia II / Morro do Chapéu II,outro,LT LT 500 kV 05N4 Ourolândia II / Morro do Chapéu II,500.0,outro,eletrica,local,NE,eletrica,local,0.0366,1,1,3
"Controle de inequação: F(USB-SJI C2) + 0,40 F(CNP-SJI) < 1992 MW",Controle de inequação,,,outro,eletrica,local,NE,eletrica,local,0.0279,2,1,4
6.3.5. CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 230/138 KV DA SE JAÍBA PARA A CONTINGÊNCIA DE UM TRANSFORMADOR 230/138 KV DA SE JAÍBA,outro,Transformação 230/138 kV da SE Jaíba,230.0,outro,confiabilidade,sistemica,SE,confiabilidade,sistemica,0.0215,1,1,2
Desligamento do setor 230kV da SE Milagres,outro,SE Milagres,230.0,outro,eletrica,local,NE,eletrica,local,0.0141,2,1,10
Em atendimento às inequações do,outro,,,outro,eletrica,sistemica,SE,eletrica,sistemica,0.0138,1,1,17
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV MAURITI II / MILAGRES – C1(L3) - IO-ON.NE.2NO,Controle de inequação,LT 230 kV Mauriti II / Milagres,230.0,local,confiabilidade,local,NE,confiabilidade,local,0.0134,1,1,1
